Item ID,Topic Code & Name,Target Learning Competency,Question / Problem Statement,Final Answer,Step-by-Step Solution
T01-Q001,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","State the Law of Sines in extended form relating side lengths a, b, c, interior angles A, B, C, and the circumradius R of the triangle.",a / sin A = b / sin B = c / sin C = 2R,"In extended form, the ratio of any side length to the sine of its opposite interior angle equals the diameter of the circumcircle: a / sin(A) = b / sin(B) = c / sin(C) = 2R, where R is the circumradius."
T01-Q002,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Formulate the Law of Cosines explicitly solving for cos B in terms of side lengths a, b, and c.",cos B = (a² + c² - b²) / (2ac),"From b² = a² + c² - 2ac cos B, rearranging gives 2ac cos B = a² + c² - b². Dividing by 2ac yields cos B = (a² + c² - b²) / (2ac)."
T01-Q003,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Explain why solving an AAS (Angle-Angle-Side) triangle yields a unique solution, whereas an SSA (Side-Side-Angle) configuration can be ambiguous.","AAS uniquely determines the 3rd angle and all sides via Law of Sines; SSA is ambiguous because sin θ = sin(180° - θ) allows 0, 1, or 2 triangles.","In AAS, knowing two angles immediately fixes the third angle uniquely (C = 180° - A - B). Then the Law of Sines gives unique side lengths. In SSA, the known angle is non-included. Solving sin B = (b sin A)/a can yield two supplementary angles (B and 180° - B) that both form valid triangles, causing ambiguity."
T01-Q004,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","In △ABC, A = 30° and b = 14 cm. Find the exact range of values for side a such that exactly two distinct triangles can be constructed.",7 cm < a < 14 cm,"The altitude from C to side c is h = b sin A = 14 sin(30°) = 7 cm. For two distinct triangles to exist in an SSA configuration with acute angle A, side a must satisfy h < a < b => 7 cm < a < 14 cm."
T01-Q005,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","For △PQR with P = 45°, q = 10√2 cm, and p = 8 cm, demonstrate mathematically why no valid triangle can exist.","No triangle exists (p = 8 cm < h = 10 cm, or sin Q = 1.25 > 1)","The minimum altitude is h = q sin P = 10√2 * sin(45°) = 10 cm. Since opposite side p = 8 cm < 10 cm, side p cannot reach the baseline. By Law of Sines, sin Q = (10√2 * sin 45°) / 8 = 1.25 > 1, which has no real solution."
T01-Q006,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A student attempts to solve △XYZ with X = 60°, x = 12 cm, and y = 8√3 cm. Determine whether the triangle is right-angled, obtuse, or impossible.","Right-angled triangle (∠Y = 90°, ∠Z = 30°)","Apply Law of Sines: sin Y = (y sin X) / x = (8√3 * sin 60°) / 12 = (8√3 * (√3/2)) / 12 = 12 / 12 = 1. Since sin Y = 1, ∠Y = 90°. With X = 60°, ∠Z = 30°."
T01-Q007,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","In △ABC, a = 13 cm, b = 14 cm, and c = 15 cm. Calculate the exact cosine of angle B as a simplified fraction.",33/65,"By Law of Cosines: cos B = (a² + c² - b²) / (2ac) = (13² + 15² - 14²) / (2 * 13 * 15) = (169 + 225 - 196) / 390 = 198 / 390 = 33/65."
T01-Q008,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","Solve for side c in △ABC where a = 5√3 cm, b = 7 cm, and included angle C = 150°.","c = √229 cm ≈ 15.13 cm","c² = a² + b² - 2ab cos(150°) = (5√3)² + 7² - 2(5√3)(7)(-√3/2) = 75 + 49 + 105 = 229 => c = √229 cm ≈ 15.13 cm."
T01-Q009,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","In △DEF, D = 42°, E = 68°, and the perimeter of the triangle is 54 cm. Calculate the length of side f.",f ≈ 20.01 cm,"F = 180° - (42° + 68°) = 70°. By Law of Sines: f / sin 70° = Perimeter / (sin 42° + sin 68° + sin 70°) = 54 / 2.5360 => f ≈ 20.01 cm."
T01-Q010,T01: The laws of sines and the laws of cosines,"Apply laws of sines in solving oblique triangles, including ambiguous cases; apply laws of cosines; solve problems involving laws of sines and cosines, including bearings.","A coast guard cutter at port O tracks a distressed fishing boat on a bearing of N 25° E at 18 nautical miles, and a rescue tug on a bearing of S 65° E at 24 nautical miles. Find the distance and bearing from the tug to the fishing boat.","Distance = 30 nautical miles; Bearing = N 28.13° W (331.87°)","Boat is at N 25° E (azimuth 025°), Tug is at S 65° E (azimuth 115°). Angle at port O is 115° - 25° = 90°. Distance = √(18² + 24²) = 30 nm. In △OTB, angle at Tug = arctan(18/24) ≈ 36.87°. Tug-to-port heading is N 65° W; turning 36.87° gives bearing N (65° - 36.87°) W = N 28.13° W (azimuth 331.87°)."
